@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %07s "MACHINE"
@ PARTICLE         %01s "U"
@ MASS             %le       0.00051099891
@ CHARGE           %le                  28
@ ENERGY           %le              0.0114
@ PC               %le       0.01138854161
@ GAMMA            %le         22.30924524
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         216.7199935
@ ALFA             %le       0.03457780825
@ ORBIT5           %le                  -0
@ GAMMATR          %le         5.377758176
@ Q1               %le                4.17
@ Q2               %le                 3.2
@ DQ1              %le        -5.903281453
@ DQ2              %le        -4.631385546
@ DXMAX            %le         3.362140487
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         29.01781054
@ BETYMAX          %le         23.07663823
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         2.005684193
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %58s " -- SIS -- :  bend. quad. sex.  with correction to fringe "
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "28/02/12"
@ TIME             %08s "15.56.43"
* NAME               KEYWORD                             S                  L               DMUX               DMUY 
$ %s                 %s                                %le                %le                %le                %le 
 "RB"                "SBEND"                    169.3909829        2.617993878                  0                  0
 "DR3"               "DRIFT"                    176.2299946          6.8390117                  0                  0
 "QS1F"              "QUADRUPOLE"               177.2699946               1.04                  0                  0
 "DR4"               "DRIFT"                    177.8699946                0.6                  0                  0
 "QS2D"              "QUADRUPOLE"               178.9099946               1.04                  0                  0
 "DR5"               "DRIFT"                    179.6197946             0.7098                  0                  0
 "QS3T"              "QUADRUPOLE"               180.1001946             0.4804                  0                  0
 "DR6"               "DRIFT"                    180.5999946             0.4998                  0                  0
 "DR1"               "DRIFT"                    181.2449946              0.645                  0                  0
 "RB"                "SBEND"                    183.8629884        2.617993878                  0                  0
 "DR2"               "DRIFT"                    184.8329884               0.97                  0                  0
 "RB"                "SBEND"                    187.4509823        2.617993878                  0                  0
 "DR3"               "DRIFT"                     194.289994          6.8390117                  0                  0
 "QS1F"              "QUADRUPOLE"                195.329994               1.04                  0                  0
 "DR4"               "DRIFT"                     195.929994                0.6                  0                  0
 "QS2D"              "QUADRUPOLE"                196.969994               1.04                  0                  0
 "DR5"               "DRIFT"                     197.679794             0.7098                  0                  0
 "QS3T"              "QUADRUPOLE"                198.160194             0.4804                  0                  0
 "DR6"               "DRIFT"                     198.659994             0.4998                  0                  0
 "DR1"               "DRIFT"                     199.304994              0.645                  0                  0
 "RB"                "SBEND"                    201.9229879        2.617993878                  0                  0
 "DR2"               "DRIFT"                    202.8929879               0.97                  0                  0
 "RB"                "SBEND"                    205.5109818        2.617993878                  0                  0
 "DR3"               "DRIFT"                    212.3499935          6.8390117                  0                  0
 "QS1F"              "QUADRUPOLE"               213.3899935               1.04                  0                  0
 "DR4"               "DRIFT"                    213.9899935                0.6                  0                  0
 "QS2D"              "QUADRUPOLE"               215.0299935               1.04                  0                  0
 "DR5"               "DRIFT"                    215.7397935             0.7098                  0                  0
 "QS3T"              "QUADRUPOLE"               216.2201935             0.4804                  0                  0
 "DR6"               "DRIFT"                    216.7199935             0.4998                  0                  0
 "MACHINE$END"       "MARKER"                   216.7199935                  0                  0                  0
