@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "SIS18"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le       0.00051099891
@ CHARGE           %le                   1
@ ENERGY           %le                   1
@ PC               %le        0.9999998694
@ GAMMA            %le         1956.951337
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         216.7239467
@ ALFA             %le        0.0348900783
@ ORBIT5           %le                  -0
@ GAMMATR          %le         5.353638321
@ Q1               %le         4.155745949
@ Q2               %le         3.326765975
@ DQ1              %le        -6.204147258
@ DQ2              %le        -4.159503301
@ DXMAX            %le         3.384745016
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         29.10844082
@ BETYMAX          %le         23.29409786
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         2.050957256
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le         7.778766405
@ SYNCH_2          %le        0.6283185307
@ SYNCH_3          %le       0.06283185307
@ SYNCH_4          %le                   0
@ SYNCH_5          %le       0.01994300298
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "28/02/12"
@ TIME             %08s "15.31.43"
* NAME               KEYWORD                             S                  L               DMUX               DMUY 
$ %s                 %s                                %le                %le                %le                %le 
 "S06KM2DV"          "VKICKER"                  110.2819733                  0       -2.940972195       -2.443021995
 "DR4"               "DRIFT"                    110.8819733                0.6       -2.931494498       -2.443727353
 "QS2D"              "QUADRUPOLE"               111.9219733               1.04       -2.914979546       -2.441518259
 "DR5"               "DRIFT"                    112.6317733             0.7098        -2.90955957       -2.440093999
 "QS3T"              "QUADRUPOLE"               113.1121733             0.4804       -2.910545922       -2.439425467
 "DR6"               "DRIFT"                    113.6119733             0.4998       -2.917329214       -2.438973419
 "S06DX5H"           "HMONITOR"                 113.6119733                  0       -2.917329214       -2.438973419
 "S06DX5V"           "VMONITOR"                 113.6119733                  0       -2.917329214       -2.438973419
 "DR1"               "DRIFT"                    114.2569733              0.645       -2.937866059       -2.438786668
 "RB"                "SBEND"                    116.8749672        2.617993878       -3.179701731       -2.444012346
 "DR2"               "DRIFT"                    117.8449672               0.97       -3.308839308       -2.452753982
 "RB"                "SBEND"                    120.4629611        2.617993878       -3.490155309       -2.500984888
 "DR3"               "DRIFT"                    127.3019728          6.8390117       -3.448719023       -2.828312869
 "QS1F"              "QUADRUPOLE"               128.3419728               1.04       -3.435196771       -2.843137701
 "DR4"               "DRIFT"                    128.9419728                0.6       -3.425744812       -2.843672734
 "QS2D"              "QUADRUPOLE"               129.9819728               1.04       -3.409304094       -2.841267823
 "DR5"               "DRIFT"                    130.6917728             0.7098        -3.40394771       -2.839713158
 "QS3T"              "QUADRUPOLE"               131.1721728             0.4804        -3.40497964       -2.838950506
 "DR6"               "DRIFT"                    131.6719728             0.4998        -3.41181205       -2.838397661
 "DR1"               "DRIFT"                    132.3169728              0.645       -3.432412213       -2.838077816
