@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "SIS18"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le       0.00051099891
@ CHARGE           %le                   1
@ ENERGY           %le                   1
@ PC               %le        0.9999998694
@ GAMMA            %le         1956.951337
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         216.7239467
@ ALFA             %le       0.04514948592
@ ORBIT5           %le                  -0
@ GAMMATR          %le         4.706234846
@ Q1               %le         4.170003259
@ Q2               %le         3.350001571
@ DQ1              %le        -4.235271142
@ DQ2              %le        -5.691014784
@ DXMAX            %le         2.825565125
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         15.29454492
@ BETYMAX          %le         28.24271461
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le          2.29646543
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le         10.08830407
@ SYNCH_2          %le        0.6283185307
@ SYNCH_3          %le       0.06283185307
@ SYNCH_4          %le                   0
@ SYNCH_5          %le       0.02901817331
@ TITLE            %84s " -- SIS -- :  bend. quad. sex.  with correction to fringe with kickers for injection"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "08/03/12"
@ TIME             %08s "13.34.30"
* NAME               KEYWORD                             S                  L                MUX                MUY               ALFX               ALFY               BETX               BETY                 DX               DMUX               DMUY 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "QS2D"              "QUADRUPOLE"               21.62098776              0.208       0.3973465079       0.3149229939       -2.678078002        6.741219974        9.927607647         24.6708722        2.079581912      -0.3062465693      -0.5212157009
 "DR5"               "DRIFT"                    22.33078776             0.7098       0.4068855706       0.3206013858       -3.262363567        5.404988968        14.14413307        16.04949309        2.380411974      -0.3023792874      -0.5192471749
 "QS3T"              "QUADRUPOLE"               22.49092109       0.1601333333       0.4086326556       0.3222699272        -1.81436592        3.578072296        14.96167596        14.61901753        2.428097039      -0.3013696616      -0.5191915506
 "QS3T"              "QUADRUPOLE"               22.65105442       0.1601333333       0.4103128165       0.3240737953      -0.2449691209        1.993264239        15.29330575        13.73182991        2.434994849       -0.300364037      -0.5193397622
 "QS3T"              "QUADRUPOLE"               22.81118776       0.1601333333       0.4119843323       0.3259630213        1.340818553       0.5433294882         15.1168331        13.32789909        2.400989533      -0.2993867048      -0.5196622814
 "DR6"               "DRIFT"                    23.31098776             0.4998       0.4174882863       0.3320525381         1.24831653       0.4947588605        13.82278339        12.80906253         2.23143798      -0.2967037917      -0.5214686919
 "DR1"               "DRIFT"                    23.95598776              0.645       0.4253676883       0.3402642512        1.128941171       0.4320776782        12.28945217        12.21125296        2.012628951       -0.294392494      -0.5256595735
 "RB"                "SBEND"                    26.57398163        2.617993878       0.4683201339       0.3784999976        0.654929619       0.4171456162        7.668209338        9.914015059        1.473507121      -0.3001938474      -0.5681879402
 "DR2"               "DRIFT"                    27.54398163               0.97       0.4901335832       0.3946785616       0.4741749264       0.3022789204        6.572977929        9.216173258        1.398651064      -0.3242545358      -0.6022320222
 "RB"                "SBEND"                    30.16197551        2.617993878       0.5619665356       0.4442715415    -0.004760348211       0.1798230993        5.356926426        7.912036831        1.538374175      -0.4514583595      -0.7343334989
 "DR3"               "DRIFT"                    37.00098721          6.8390117       0.7057446639       0.5711169594       -1.281456374      -0.7125084844        14.15337764        11.55507841        2.804215926        -0.63759772       -1.035828898
 "QS1F"              "QUADRUPOLE"               37.20898721              0.208        0.708049564       0.5739338389      -0.4539795097       -1.450130743        14.51584344        12.00306252        2.825317074      -0.6365518902       -1.037323656
 "QS1F"              "QUADRUPOLE"               37.41698721              0.208       0.7103245521       0.5766131961       0.3958579524       -2.259769869         14.5279828        12.77155709        2.811520464      -0.6354301998       -1.038390397
 "QS1F"              "QUADRUPOLE"               37.62498721              0.208       0.7126255788       0.5791031216        1.226197573       -3.181634425        14.18919779        13.89872737         2.76299651      -0.6342636879       -1.039011174
 "QS1F"              "QUADRUPOLE"               37.83298721              0.208        0.715011184       0.5813676293        1.996141272       -4.261506349        13.51617515        15.44055123         2.68034457      -0.6330816954       -1.039212022
 "QS1F"              "QUADRUPOLE"               38.04098721              0.208         0.71754862       0.5833872376        2.667765748       -5.553014594        12.54206437        17.47359926        2.564585544      -0.6319212644       -1.039051654
